
Abraham, Alexandre (Telecom ParisTech)
Behnke, Sven (Univserity of Bonn)
Blondel, Mathieu (NTT Communication Science Laboratories)
Buitinck, Lars (Netherlands eScience Center)
Eickenberg, Michael (INRIA)
Gervais, Philippe (INRIA)
Grisel, Olivier (INRIA)
Grobler, Jaques (Energy Partners)
Guido, Sarah (Bitly)
Holt, Brian (Samsung Research UK)
Joly, Arnaud (University of Liège)
Kossaifi, Jean (Imperial College London)
Lampert, Christoph (IST Austria)
Layton, Robert (dataPipeline)
Louppe, Gilles (NYU)
Niculae, Vlad (Cornell University)
Nowozin, Sebastian (Microsoft Research Cambridge)
Pedregosa, Fabian (Université Paris-Dauphine)
Prettenhofer, Peter (Datarobot)
Rother, Carsten  (TU Dresden)
Scherer, Dominic (unknown)
Schulz, Hannes  (Maluuba)
Thirion, Bertrand (INRIA)
Vanderplas, Jake (University of Washington)
Varoquaux, Gaël (INRIA)
