
Abraham, Alexandre (Telecom ParisTech)
Behnke, Sven (Univserity of Bonn)
Blondel, Mathieu (NTT Communication Science Laboratories)
Buitinck, Lars (Netherlands eScience Center)
Cranmers, Kyle (NYU)
De Torrente, Laurence (New York Genome Center)
Eckner, Sinziana (JPMorgan Chase)
Eickenberg, Michael (INRIA)
Gervais, Philippe (INRIA)
Grisel, Olivier (INRIA)
Grobler, Jaques (Energy Partners)
Guido, Sarah (Bitly)
Herbrich, Ralf (Amazon Germany)
Hogg, David (NYU)
Holt, Brian (Samsung Research UK)
Hutter, Frank (Univeristy of Freiburg)
Joly, Arnaud (University of Liège)
Kossaifi, Jean (Imperial College London)
Lampert, Christoph (IST Austria)
Layton, Robert (dataPipeline)
Louppe, Gilles (NYU)
Niculae, Vlad (Cornell University)
Nowozin, Sebastian (Microsoft Research Cambridge)
Pedregosa, Fabian (Université Paris-Dauphine)
Prettenhofer, Peter (Datarobot)
Rother, Carsten  (TU Dresden)
Scherer, Dominic (unknown)
Schulz, Hannes  (Maluuba)
Shaikh, Reshama (unknown)
Sontag, David (NYU)
Thirion, Bertrand (INRIA)
Vanderplas, Jake (University of Washington)
Vanschoren, Joaquin (Technical University of Eindhoven)
Varoquaux, Gaël (INRIA)
Vukicevic, Iva (Macy's)
